课程：计算机网络
来源ID：source_05e11028da
切片数：1431
转写字符数：1298239
课程名称：计算机网络
录播ID：29169
学年：2025-2026
学期：春季
来源URL：https://course.ynu.edu.cn/learn/videoreview/2cb25efa8cb34dfa97767a0e2c986b15?id=29169&schoolYear=2025-2026&semester=春季

===== 课堂语音转写 =====

--- 1 / 5 / 00:00:35 - 00:03:26 ---
[00:00:35] 签个到，
[00:10:08] 又会发生音射是要到了这个对应的慢启动的阈值以后，
[00:10:12] 就进入到第二个对应的处理的阶段，
[00:10:15] 那他不再用指数增长，
[00:10:18] 而是每一个RTD是RTD的这样一个交付的这样一个时段的话，
[00:10:23] 每一个RDD的这样一个交付，
[00:10:25] 就是每个RT的这样一个交付的轮次的话，
[00:10:28] 它就只增加一，
[00:10:30] 每次只增加一个MS，
[00:10:32] 那这个话我们称为家姓针，
[00:10:34] 那我们看到先通过。
[00:10:36] 重境界，
[00:10:37] 把它打回到解放前，
[00:10:38] 然后再慢慢启动的增长，
[00:10:40] 而到达阈值的这个位置的话，
[00:10:43] 再进行对应的每一次每一个文字加一的这种方式来处理，
[00:10:48] 那每次加一，
[00:10:48] 每次加一，
[00:10:49] 那我么看到原来的线是非常直的，
[00:10:51] 这样升上来，
[00:10:52] 那这个的话是指数的增长，
[00:10:54] 那道具接的化加一加一加一，

--- 13 / 5 / 00:10:56 - 00:12:16 ---
[00:10:56] 那我们看到就呈现了这样一个对应的爬升的这样一个缓慢爬升的建样筑这个态势，
[00:11:03] 那每次通过加一加一加一加一，
[00:11:05] 大家要不断的试探，
[00:11:07] 看一下网络里边是否发生了丢包事件，
[00:11:09] 然后不断的试探，
[00:11:11] 那这样只要不发生丢包事件的话，
[00:11:13] 就通过加一加一的方式慢慢的增长，
[00:11:15] 好，
[00:11:16] 那这种增长的话，
[00:11:17] 它增长趋势是非常缓慢的，
[00:11:19] 但是的话，
[00:11:20] 它一定也有一个极限值，
[00:11:22] 比如说他再次超过了原来的这个发生，
[00:11:24] 用测这样一个对应的这个值以后，
[00:11:27] 它发生增射几率的话，
[00:11:29] 会急剧的增加，
[00:11:31] 那到了某一个值以后，
[00:11:32] 一定再次会发生音射这样一个对应的这个情况。
[00:11:36] 发生丢包现象，
[00:11:38] 那发生丢包事件以后的话，
[00:11:39] 同样按照相同的机制来进行处理，
[00:11:42] 通过陈信界打回到解放前，
[00:11:44] 从最开始的一开始，
[00:11:46] 然后的话又恢复到这个对应的这第二阶段加竞争的阶段后，
[00:11:51] 再来进行加一加一加一的来进行对立这样一个增长，
[00:11:55] 好那这个阶段的话，
[00:11:56] 我们称为拥塞避免阶段，
[00:11:58] 因为发生了音色，
[00:11:59] 然后我先做重性界，
[00:12:01] 回到最原始的状态，
[00:12:03] 然后的话增长到阈值的，
[00:12:06] 慢启动阈值的这个阈值以后的话，
[00:12:08] 做这个加信增，
[00:12:09] 然后不断的来试探当前网络的情况，
[00:12:12] 好那我就要称为拥塞避免的这个阶段，
[00:12:15] 那因为在避免阶段的话，

--- 13 / 5 / 00:12:16 - 00:13:39 ---
[00:12:16] 我们总结了它基本的算法的话，
[00:12:18] 就AIMD，
[00:12:20] 那AMD的话就是家信真和诚信界，
[00:12:23] 那大家理解了家信真和诚信姐的这样一个基本的这个计算方法以后的话，
[00:12:29] 就应该知道音测避免阶段的话，
[00:12:31] 它是如何来进行处理的，
[00:12:32] 那在过程里边一个非常重要的参数就是慢启动的这个。
[00:12:36] 阈值，
[00:12:37] 一旦发生这个对应的丢包事件以后，
[00:12:40] 先要设置出一个换启动的阈值作为一个衡量的标准，
[00:12:44] 那如果你的拥测窗口低于这个慢启动的这个阈值的话，
[00:12:48] 就可以按照慢启动阶段的这样一个算法指数的增长，
[00:12:52] 那一旦到达这个慢启动阈期以后，
[00:12:55] 就要做这种加竞争，
[00:12:57] 每次加一的关系来进行增长，
[00:12:59] 从而避免出现这些拥塞，
[00:13:00] 再次出现拥塞，
[00:13:02] 好，
[00:13:02] 那这块就是这个AMMD的这个基本的一个算法，
[00:13:06] 那我们看一下他什么时候从原来的慢启动的这样一个对应的指数增长的话，
[00:13:12] 变成家性增的这样一个线性增长，
[00:13:15] 那我们看到，
[00:13:17] 他回到这个最开始的阶段以后的话，
[00:13:19] 那它按照翻倍的方式增长，
[00:13:22] 我们看看一，
[00:13:23] 然后二，
[00:13:23] 然后四，
[00:13:24] 然后这个八，
[00:13:26] 然后十六，
[00:13:26] 这样的增长，
[00:13:27] 那我们看到原来我们设置有个对应阈值，
[00:13:30] 比如说我们假设原来在出现三十二三十二个对应的这个MS的这个窗口的时候出现。
[00:13:36] 底中色，
[00:13:37] 然后我们设置它初始值为十六，

--- 13 / 5 / 00:13:40 - 00:15:10 ---
[00:13:40] 当你的对应音色窗口增长到十六以后的话，
[00:13:43] 就不再三倍来进行增长了，
[00:13:45] 而是按照十六加一十七十八十九二十这样方式的话加进来增长，
[00:13:50] 那我们看到单它增长到二十四的时候，
[00:13:53] 网络被发生了丢包现象，
[00:13:55] 那发生丢雹现象以后，
[00:13:56] 我们看到按照这个音测避免的机制的话，
[00:13:59] 就把因测窗口从原来二十四调整为一的这样一种阶段，
[00:14:04] 那回到解放前，
[00:14:05] 然后的话再按照慢开始阶段基本的算法一二四六八，
[00:14:12] 那我们看到在这过程里边，
[00:14:13] 他是到二十四的时候出现了这个音色，
[00:14:17] 那么二十四的话，
[00:14:18] 除二它得到一个新的这样一个音色，
[00:14:20] 这样一个阈值音测这样个阈值，
[00:14:24] 那当它增长到对应的这个趋势，
[00:14:26] 那我们看到这地方一二四六，
[00:14:29] 然后八八下面化，
[00:14:31] 看到要操过要接近对应的这个音色窗口十二了，
[00:14:35] 所以话到这个阶段的话。
[00:14:36] 它就不再进行对应的这样一个增长了，
[00:14:39] 那它就按照加一加一的方式的话来进行增长，
[00:14:42] 所以的话，
[00:14:43] 我们看到单它的这个值的话，
[00:14:44] 趋近于这个对应的这个值的时候的话，
[00:14:47] 它就进行加一的增长主最终的话，
[00:14:51] 你的因这窗口的值是够能够大于这个你的这个对应的慢企都这样一个阈值的，
[00:14:58] 所以我们看到当它增长一二四八，
[00:15:01] 然后再往上增长要到十二了，
[00:15:03] 那这种情况下的话，
[00:15:05] 就不能够再增长到十二了，
[00:15:07] 那我们看到它最多的话，
[00:15:09] 就从到到十二，

--- 13 / 5 / 00:15:10 - 00:16:37 ---
[00:15:10] 那所他到第八以后就变成十二，
[00:15:13] 然后从十二开始以后，
[00:15:15] 所有的值的话，
[00:15:16] 就开始加一的这个处理，
[00:15:18] 所以看到这个地方的话，
[00:15:19] 并不是翻倍的，
[00:15:20] 那看到正常的话应该是翻倍到十六，
[00:15:23] 那到底边的话应该预值是十二，
[00:15:25] 所以你只能够取这一个对应的阈值范围作为它极限的这个值，
[00:15:29] 然后从这个阈值开始加一加一加一的来进行这个优色避免，
[00:15:34] 那我们看到在这过程里边，
[00:15:36] 一旦。
[00:15:36] 高针丢包，
[00:15:37] 那就按照这种AIMD这种算法来进行对应处理，
[00:15:42] 诚信减少，
[00:15:43] 然后把加信针按照这种方式来完成拥塞避免阶段的这个拥塞的一个控制，
[00:15:48] 那音色控制的话，
[00:15:49] 主要是通过调整音射窗口，
[00:15:52] 那调整音射窗口基本的一个参考值的话，
[00:15:55] 就你上一次发生拥塞的时候所这个产生的这样一个对于能判指动这样一个阈值，
[00:16:01] 既这阈值的话作为分界线来进行对应的这样一个设计，
[00:16:06] 那是做慢启动还是做晕测避免的加性增，
[00:16:09] 那就基于这样一个对应的慢气统阈值的话来进行一个对应的判定。
[00:16:16] 好那我们看一下慢慢开始和拥塞避免算法的一个实现一个范例，
[00:16:20] 那我们最开始初始化的时候，
[00:16:22] 把对应的音色窗口置为一，
[00:16:24] 那在这个过程里面的话，
[00:16:25] 我们看到它这个地方的话，
[00:16:28] 它处理的单参口单位的话，
[00:16:30] 都使用字节，
[00:16:31] 还是用报文段的数量来作为，
[00:16:33] 这样一个音射窗口的这样一个对应的这样一。
[00:16:36] 一个这个描述，

--- 13 / 5 / 00:16:37 - 00:18:05 ---
[00:16:37] 这个的话比较好描述，
[00:16:39] 那我们实际在使用的时候，
[00:16:41] 我们前面讲到了慢启动，
[00:16:43] 我们讲到了这个流量控制的窗口，
[00:16:45] 那流量控制的窗口的话，
[00:16:46] 它是以字节作为单位来进行控制的，
[00:16:49] 而这边这个慢启动的话，
[00:16:52] 拥色控制的话，
[00:16:53] 零色控制窗口在实际实施的时候也是以字节作为一个单位，
[00:16:58] 那字节作为单位的话，
[00:16:59] 我们看到我们现在的话是以一个对应的这个对应的一个这个报文段的话来进行这个设置，
[00:17:06] 那我们前面讲到了一个MSS的话，
[00:17:09] 它的值应该是多少字节是多少字节，
[00:17:15] Pcp里边一个MS是多少字节，
[00:17:19] 幺四六零的字节对吧？
[00:17:21] 说句话实际用的时候，
[00:17:22] 它是以幺四六零的字节，
[00:17:24] 幺四六零的字节不断加起来得到一个总的字节数，
[00:17:27] 那我们用字节数的话来除上幺四六零字己的话，
[00:17:31] 就能够判断出来最多能够发多少报纹段了，
[00:17:33] 所以话他最终实际的这个用测。
[00:17:36] 川的的话是以字节作为单位，
[00:17:39] 是以字节作为单位，
[00:17:40] 然后的话来进行这个描述的，
[00:17:43] 当我们在给大家讲拥色的这个对于你的控制的时候的话，
[00:17:48] 我们是以对应的豹文段作为基本的单位来做这个描述的，
[00:17:53] 一个MS，
[00:17:53] 两个MS，
[00:17:54] 四个MS这样的这个描述，
[00:17:56] 那这个话给大家这个说明一下，
[00:17:59] 实际的情况的话，
[00:18:00] 是以字节作为单位来设置音设窗口，
[00:18:03] 但未来我们进行学习的这个方便，

--- 13 / 5 / 00:18:05 - 00:19:25 ---
[00:18:05] 我们拿对应的一个报文段的话作为单位来描述这个音色窗口。
[00:18:10] 好我们看一下最基本的情况，
[00:18:12] 最开始的时候，
[00:18:13] 当你开始建立了pcp连接，
[00:18:15] 然后发送相应的TC报文段的时候，
[00:18:18] 他首先进入的是慢开始的这个阶段，
[00:18:21] 慢慢启动阶段的话，
[00:18:22] 我们看到初始的这个优色窗口危一，
[00:18:25] 然后下一个交付的话，
[00:18:26] 我们看到下一个对应的交付段的话，
[00:18:29] 设置为二，
[00:18:30] 那我们看到这个的话是对应的它的这个温作窗口的值，
[00:18:34] 这个的话是它对应的轮次。
[00:18:36] 那轮次看到离第一，
[00:18:38] 第一轮第二轮第三轮第四轮这然是轮次，
[00:18:42] 好，
[00:18:43] 那我们看到慢启动阶段的话，
[00:18:45] 它从一作为初始值开始，
[00:18:47] 然后的话，
[00:18:48] 第一个轮次完了之后变成二，
[00:18:50] 第二个轮次变成四，
[00:18:51] 第三个人字变成八，
[00:18:53] 然后第四个轮次的话，
[00:18:55] 变成了十六，
[00:18:56] 变成十六，
[00:18:57] 好变成十六的话，
[00:18:58] 我们看到原来我们设置了一个对应的这个慢症的这样一个对应的阈值，
[00:19:04] 那这阈值的话，
[00:19:06] 它可能开始的时候，
[00:19:07] 设置为十六，
[00:19:08] 或者是再一次发生晕塞的时候，
[00:19:10] 设测置对应的这一个慢驱动的阈值，
[00:19:13] 那我们看到到了十六以后的话，
[00:19:15] 就接接近了它原来设置的这个慢启动的这个阈值，
[00:19:20] 那到了这预值以后，
[00:19:22] 你就不能够翻倍了，
[00:19:23] 那一旦翻倍的话，

--- 13 / 5 / 00:19:25 - 00:20:51 ---
[00:19:25] 大概率会出现这个用塞，
[00:19:26] 所以我们按照加一加一的方式，
[00:19:28] 就我们看到第五个轮次加一变成十七，
[00:19:31] 第六个轮次十八十九二十二一二二三二四。
[00:19:35] 按照二四的这。
[00:19:36] 在对应的这个音色窗口的时候的话，
[00:19:39] 发生了丢包超市的这种现象，
[00:19:41] 那发生丢包缩弛以后的话，
[00:19:43] 就做这个诚信的借借做诚信的借。
[00:19:48] 好，
[00:19:52] 那我们看到它不断的慢慢的增长，
[00:19:54] 那增长到这个对应的这个阶段，
[00:19:59] 好八道一阶段后名做避免那道率就办法超时了，
[00:20:02] 那超时了以后的话，
[00:20:04] 他就做这个诚信的解，
[00:20:06] 那诚信减的话，
[00:20:07] 就把原来的这个二十四的这个音测窗口的话，
[00:20:10] 给他这一个除二，
[00:20:12] 那除二的话，
[00:20:13] 二十四的话得到一个新的这样一个对应的这个慢热启动的这样一个阈值，
[00:20:18] 二十四得到十二个阈值，
[00:20:20] 然后把分字穿口的话，
[00:20:22] 回到一的这样一个起始的位置，
[00:20:24] 然后的话再进行对应的这个慢开始的慢启动的这样一个这个算法诚信的真，
[00:20:30] 那么一二四六，
[00:20:32] 然后的话到这地方的话，
[00:20:34] 这个一二四八，
[00:20:37] 然后八的话，
[00:20:38] 如果十六的话呢，
[00:20:39] 超过这个阈值，
[00:20:40] 说我们到这个第十七轮的话，
[00:20:44] 就把对应的这个优势窗口的话，
[00:20:46] 设为尔对应的这个阈值十二的。
[00:20:48] 等预值，
[00:20:49] 然后的话，
[00:20:50] 从十二以后的话，

--- 13 / 5 / 00:20:51 - 00:22:19 ---
[00:20:51] 再加一十三十四十五十六这样来算上去，
[00:20:54] 那我们看到这个话就对应的慢启动的优塞避免的这样一个阶段，
[00:20:59] 好，
[00:21:00] 那他按照这个绿色变面，
[00:21:01] 然后不断的来进行对应的试探，
[00:21:05] 避免出现这个再次出现晕色，
[00:21:07] 然后它缓慢的增长，
[00:21:09] 那增长到一个阶段以后的话，
[00:21:11] 必然会出现两种情况，
[00:21:13] 一种情况的话就是再次发生丢包，
[00:21:16] 那再次发生丢包的话，
[00:21:17] 还是按照对应的这个音测避免阶段的这样一个AMIMD的这个算法的话，
[00:21:23] 进行对应的用测窗口的控制，
[00:21:25] 那还有另外一种比较特殊的情况的话，
[00:21:28] 那我们也看到我现在网络里面没有发生纠纷，
[00:21:32] 但是我在接收方这边连续收到了三个对应的这个重复的一个确认，
[00:21:38] 那我知道连续三个重复的这个确认的话，
[00:21:42] 大家回想一下，
[00:21:43] 前面我们做可靠数据传输的时候，
[00:21:45] 如果你连续收到三个重复的这个确认。
[00:21:48] 这种的话应该做什么。
[00:21:51] 我们前面在格数据传输的时候，
[00:21:54] 如果连续收到三个重复的AC，
[00:21:58] 那会激发什么一种机制，
[00:22:01] 对对快速重传的机制，
[00:22:03] 那比如说接收方这边主动的通知你了，
[00:22:06] 已经发生了丢包现象了，
[00:22:08] 你不要再等它超时了，
[00:22:09] 对吧，
[00:22:10] 是吧，
[00:22:10] 这三个ACK的话，
[00:22:11] 就是来通知发送方那家可以快速重床了，
[00:22:15] 是吧？
[00:22:15] 到了这个阶段以后的话，
[00:22:17] 就进入到第三个阶段，

--- 13 / 5 / 00:22:19 - 00:23:52 ---
[00:22:19] 就是快恢快恢复的这样一个阶段，
[00:22:22] 那快恢复阶段的话，
[00:22:23] 并不是说这个TCP最开始的时候都采取了这种跨恢色这样一种算法，
[00:22:30] 那在最早期的时候，
[00:22:31] TCP的早期版本的话，
[00:22:33] 它都是沿用来用设避免的这样一种机制，
[00:22:37] 不管是超时现象发生，
[00:22:39] 或者是三个重复的A确认，
[00:22:41] 它都按照这个音色避免的方式，
[00:22:44] 把用色窗口的化给他一麻到底，
[00:22:46] 然后的话从一开始，
[00:22:48] 然后再重新来进行对应的恢复，
[00:22:50] 那这种情况下的话。
[00:22:52] 就会导致他发送的这个效率的话非常的低，
[00:22:56] 那么看到它从一开始，
[00:22:57] 然后的话慢慢增长，
[00:22:59] 那这样的话要花费很长时间才能够恢复到能够发很多数据的这样一种阶段，
[00:23:05] 所以话不利于我们数据的一个快速的这样一个这个重传，
[00:23:09] 所以的话，
[00:23:10] 到了这个reno版本以后的话，
[00:23:12] 就出现了快恢复的这样一种阶段，
[00:23:15] 那采取了快恢复的一种特殊的一个机制，
[00:23:18] 那这种机制的话，
[00:23:19] 就是你的拥测窗口的话，
[00:23:21] 不再被直接回到一的这样一种情况，
[00:23:24] 而是把音设计窗口的话，
[00:23:26] 直接设为二分之一的这样一个对应的这个音色窗口的值，
[00:23:31] 就是我把对应的慢启动的阈值作为快恢复阶段与起始的优色窗口的值，
[00:23:38] 那从这样一个中间值的话来进行一个快恢复，
[00:23:42] 那这样的话，
[00:23:42] 显然它传输数据的这这个重传报文段的一个效率的话，
[00:23:47] 会得到极这个极大的增长，
[00:23:50] 所以我们把这个这种方式。

--- 13 / 5 / 00:23:52 - 00:25:20 ---
[00:23:52] 话又称为一个快恢复的这样一个阶段，
[00:23:57] 那我们看没前面的话，
[00:23:59] 当你前面讲到我们在进行用色控制的时候，
[00:24:02] 你需要识别网络当前的音塞这样一个状态，
[00:24:05] 那我们指出了有两种这个状态的话，
[00:24:08] 能够帮助我们判断音色，
[00:24:10] 那如果发生丢包，
[00:24:11] 我们就认为是确实发生了这些拥塞，
[00:24:14] 发生了严重的拥塞，
[00:24:16] 那如果我收到三个对应的重复A确认，
[00:24:19] 能够从接收方那边顺利收到三个重复AC确认，
[00:24:23] 那代表着当前网络的话，
[00:24:26] 传输对方主机的数据包的话是没有问题的，
[00:24:29] 只是由于一些其他的原因导致了你的豹纹状这样一个丢失，
[00:24:34] 所以话对对这网络情况而言的话，
[00:24:37] 我们应该认为这个网络化还是有一定的这个可用性的，
[00:24:42] 所以就没有必要说把它恢复到最开始的慢启动阶段，
[00:24:46] 然后重复来开始，
[00:24:47] 所以话我们需要设计一个特殊的机制来和我们前面可靠数据传。
[00:24:52] 出的快重传机制的话，
[00:24:54] 对应起来来做对应的流量控制，
[00:24:56] 做对应的音色控制，
[00:24:58] 所以我们看到，
[00:24:59] 当你收到三个重复的A以后，
[00:25:01] 立刻执行快快速重船的这样一个机制，
[00:25:04] 好，
[00:25:06] 就不会让你的这个对应的数据的这个报文段的话出现超时，
[00:25:10] 那采取快速重传机制以后的话，
[00:25:12] 使得整一个网络吞吐量的话，
[00:25:14] 大概提高了百分之二十之内，
[00:25:16] 所以的话，
[00:25:17] 我们看到快存商的话，
[00:25:18] 要求精能商的话，
[00:25:19] 立即发送这个确认，

--- 13 / 5 / 00:25:21 - 00:26:45 ---
[00:25:21] 即使收到试序失序的地报文档的话，
[00:25:24] 也要立即发出对于已接收的报文状重复确认，
[00:25:27] 那通过接收方的这样一种这个动作以后的话，
[00:25:30] 就能够快速的通知到发送到那边，
[00:25:32] 把这个失效或者没按序道道的报纹的话，
[00:25:36] 进行对应的重传，
[00:25:38] 好那就是快存团的这个机制，
[00:25:41] 那为了配合快速的机制的话，
[00:25:43] TCP的在拥测窗拥塞控制的时候的话，
[00:25:46] 就设计了快速恢复的这样一个机制，
[00:25:49] 好那我看一下，
[00:25:50] 那我们不讲快速恢复机制。
[00:25:52] 话是拥塞窗口拥塞控制的第三种这个机制，
[00:25:56] 那这种机制它出这个激发了基本的这个事试件的话，
[00:26:00] 就你的发送方这边收到三个重复的ACK，
[00:26:04] 那收到三个重复AJK以后，
[00:26:05] 你看到首先的话，
[00:26:07] 优质窗口要发生改变，
[00:26:09] 那优质窗口不再是按照这个诚信界降到一，
[00:26:13] 而是把音色窗口化设置为当前用色窗口的这个值的一半，
[00:26:17] 同时要基于这个一半的值的话，
[00:26:19] 来设置它的这个对应的慢启动的这样一个阈值，
[00:26:23] 然后的话，
[00:26:24] 你的优测窗口的话，
[00:26:25] 就按照这个优设避免的这样一个机制的话，
[00:26:29] 线性的加一加一加一的来进行对应的增长，
[00:26:32] 好那我们来做个对比，
[00:26:34] 那当发生丢包事件，
[00:26:36] 也是你发判断出来发生晕射以后，
[00:26:38] 那我们看到是做沉信界，
[00:26:40] 把因这窗头降为一，
[00:26:42] 然后的话进入到慢启动阶段，
[00:26:44] 然后窗口指数增长，

--- 13 / 5 / 00:26:46 - 00:28:12 ---
[00:26:46] 然增长到对应的你的慢慢启动的这样一个阈值以后的话，
[00:26:50] 再来做线性的加性。
[00:26:52] 增的这样一个增长，
[00:26:53] 好，
[00:26:53] 那第二次超时事件的时候，
[00:26:55] 我们做拥塞避免的时候，
[00:26:57] 主要采取的机制，
[00:26:58] 而慢快速恢复阶段的话，
[00:27:00] 我们看到我们把音色窗口的话，
[00:27:03] 并没有降到一，
[00:27:04] 而是降到原来窗口的二分之一，
[00:27:06] 从二分之一这个中间值开始以后的话，
[00:27:09] 来进行这个重穿，
[00:27:10] 那从二分之一地方来乘床的话，
[00:27:12] 你的用这窗口的话是一个比较中间的这样一个值，
[00:27:16] 同时可以发多个对应的报文段出去，
[00:27:19] 那这样的话就有利于你的快恢复的这样一个快虫传染的这样一个对应的机制的一个实施，
[00:27:26] 帮助你重创这个数据的话，
[00:27:28] 能够尽快的速度的话，
[00:27:30] 传给自己的接触方好。
[00:27:33] 好，
[00:27:35] 那就是快速恢复的这个基本的这样一个这个思路，
[00:27:39] 那我们看一下基本的这样一个实施的话是怎么来实施的，
[00:27:43] 那到了快的深入阶段以后，
[00:27:44] 我们看到发动方，
[00:27:46] 如果连续收到三个重复ACK，
[00:27:48] 那它不执行慢启动慢开始的这样一个算法，
[00:27:51] 而是执行库尔菲特这样的算法，
[00:27:53] 库尔分的算法号就先设置一个慢开始的阈值，
[00:27:57] 这阈值的话是当收到三个重复确认的时候，
[00:28:00] 当前用测窗口的这个二分之一的这个值设置的这个慢开始的阈值，
[00:28:06] 然后的话把新的映色窗口的值的话和慢开始的那个阈值的话相等，
[00:28:11] 所以的话，

--- 13 / 5 / 00:28:12 - 00:29:40 ---
[00:28:12] 我们看到用公测窗口的话，
[00:28:13] 也是原来公测窗口的二分之一这个值，
[00:28:16] 然后的话执行音色避免的这样一个算法，
[00:28:20] 他卖这个嘉信真的这个算法，
[00:28:22] 每一个对应的这个对应的这个交付的这样一个这个文字的话，
[00:28:27] 就按照加一加一的话来进行处理好，
[00:28:30] 那这个地方的话，
[00:28:31] 需要给大家说一点的话，
[00:28:33] 就是在。
[00:28:34] 有些教材里边，
[00:28:35] 它是把工作窗口的话，
[00:28:37] 设为这个对应的慢体动的阈值，
[00:28:40] 然后按照加一加一方式的话来进行增长，
[00:28:44] 然后话快速的把对应的要重传的报文段话给它重传出去，
[00:28:49] 好，
[00:28:49] 那在有些改进算法里边的话，
[00:28:51] 它做了一个对应的改进，
[00:28:53] 就是他把对应的这个穿口话，
[00:28:57] 这个不是作这来进行设置，
[00:29:00] 因为在这个过程里边，
[00:29:01] 他能够连续收到三个对应的这个重复确认，
[00:29:05] 那代表着当前的网络话发送对应的这个报文的话是没有问题的，
[00:29:11] 那他需要做一个补偿，
[00:29:13] 那这个补偿的基本的这样一种算这个方式的话，
[00:29:16] 就我们看到当出现拥塞避免，
[00:29:19] 到了这个对应的这个收到三个ACK的时候，
[00:29:23] 那我们讲一下当前它这个对应的窗口值的话，
[00:29:26] 是在原来这个地方看到，
[00:29:28] 当它到U测窗口到十六的时候，
[00:29:31] 收到三个重复的AJK，
[00:29:33] 那收到三个重。
[00:29:34] 做EK以后，
[00:29:35] 他就进入到了这个慢恢复的这样一个阶段，
[00:29:38] 那慢分布阶段它怎么来算呢？

--- 13 / 5 / 00:29:40 - 00:31:07 ---
[00:29:40] 那我们看到首先他要先创建出一个对应的慢开始的这样一个阈值，
[00:29:45] 那在原来的基础上，
[00:29:47] 原来是十六，
[00:29:48] 那我们把十六音色窗口值出二，
[00:29:50] 得到八的这样一个对应的慢启动这样一个对应的阈值，
[00:29:55] 好然后得到放值的阈值以后，
[00:29:57] 我们看到它对应的值为八，
[00:29:59] 然后值为八以后的话，
[00:30:00] 就开始执行对应的N色，
[00:30:02] 避免按照加一加一的单式的话来进行对应的这个线性的这样一个增长，
[00:30:08] 不断的来进行重发对应的这个快速重传的这个报纹段，
[00:30:12] 好在这个过程里边的话，
[00:30:14] 在改进算法里边，
[00:30:15] 他又做了一个提升，
[00:30:17] 它把对应的拥测窗口的话，
[00:30:19] 不是按二分之一来弄了，
[00:30:21] 因为他已经连续收到三个对应的报文段，
[00:30:24] 那这三个报文段在网络里边就传完了，
[00:30:27] 相当于你的网络带宽留出来三个暴纹段这样一个空间出来，
[00:30:31] 数以话络可以判断出。
[00:30:34] 不然当前的网络如果再多发三个这个段门段的话是没有问题的，
[00:30:39] 所以我一看到，
[00:30:40] 他就做了一个对应的改进，
[00:30:42] 这改进的话就把音测窗口在原来二分之一窗口的基础上化，
[00:30:47] 再给它加上三个MS的这样一个值，
[00:30:50] 比如说增加三个MS，
[00:30:53] 然后的话从这三个MS开始的话，
[00:30:55] 再来进行对应的快速的重传，
[00:30:58] 所以这个的话是这个一个改进算法，
[00:31:01] 这个的话在不同的教材里边，
[00:31:03] 它说法不一样，
[00:31:05] 那这个地方的话，
[00:31:06] 大家可以，

--- 13 / 5 / 00:31:07 - 00:32:25 ---
[00:31:07] 按照加三个MS的这种方式来处理，
[00:31:10] 或者是不加了处理都可以，
[00:31:12] 这一话没有做强制要求，
[00:31:14] 那么看到到了解润的版本以后的话，
[00:31:16] 他就做这样一个设置，
[00:31:18] 设置一个比较中间的这样一个，
[00:31:20] 这个对应人优势控制的这样一个窗口，
[00:31:23] 好，
[00:31:23] 那到了快速恢复阶段以后，
[00:31:25] 你设置了对立窗口，
[00:31:27] 不管是窗口直的化适用这二分之一的原来音色窗口，
[00:31:31] 还是在二分之一之上加了三个MS。
[00:31:33] 不管是。
[00:31:34] 哪种方式，
[00:31:35] 那你设置了一个起始的音测窗口，
[00:31:38] 然后我们看到就要按照上面下面这两种情况的话进行进一步的处理，
[00:31:42] 那比如说，
[00:31:44] 你做快速重船，
[00:31:46] 你开始做拥资控制以后，
[00:31:48] 你还继续收到重复的E些K的这样一个确认报端，
[00:31:51] 那每收到一个重复的AK确认报名的话，
[00:31:54] 就在原来音射窗口基础上的话，
[00:31:57] 加一个对应的MS的这个对应的值，
[00:32:00] 好，
[00:32:01] 那按照种方式的话，
[00:32:02] 每收到一个重复确认的报文就加一加一，
[00:32:05] 然后来进行快速的重传，
[00:32:07] 进行快速的重穿，
[00:32:08] 把丢的数据分组的话，
[00:32:10] 快速把它传出去，
[00:32:11] 好，
[00:32:12] 那就慢恢复阶段，
[00:32:13] 第一个这个采取的是动作，
[00:32:15] 那第二段就是你在进行快速重装的这个过程目标，
[00:32:19] 那你发出去的对应的这个数据的报文段被接收方的话，
[00:32:24] 正常的收到了，

--- 13 / 5 / 00:32:25 - 00:33:47 ---
[00:32:25] 那接收方对于你所重发的这个数据的话，
[00:32:29] 给出了对应的确认，
[00:32:31] 那我们知道接收方这的话，
[00:32:33] 他给的是一个累积券。
[00:32:34] 对说，
[00:32:35] 如果他收到一个新数据的确认，
[00:32:37] 那代表的网络话，
[00:32:39] 已经恢复正常了，
[00:32:41] 你的数据的话，
[00:32:42] 已经对接收方的话，
[00:32:43] 正常的这个确认到了，
[00:32:45] 那就回到原来的最开始阶段，
[00:32:47] 把他俩这个音测窗口的值设置为慢启动的这个阈值，
[00:32:52] 然后再次进入到音塞避免的这样一个阶段，
[00:32:55] 继续来加以执行，
[00:32:57] 好，
[00:32:57] 那这个大家注意一下，
[00:32:58] 有这两种情况，
[00:32:59] 如果每次重复收到对应的这个重复确认报单，
[00:33:04] 就把公制窗口加一，
[00:33:05] 继续来进行快速重传，
[00:33:07] 那如果收到新的数据的这样一个确认，
[00:33:09] 就代表着你原来快速重床的这个动作的话，
[00:33:12] 已经结束了，
[00:33:13] 接收方已经对于快速重档数据的话，
[00:33:16] 给出来确认，
[00:33:17] 那这样的话你就要退出快速重窗的这样一个阶段，
[00:33:20] 让我们把优势窗口化恢复到拥色避免的这个机制，
[00:33:26] 把它窗口的话设置为对应的慢启动进行阈迟，
[00:33:30] 然后的话进入到拥测避免阶段。
[00:33:33] 然后按照。
[00:33:34] 这个加信增的方式的话，
[00:33:36] 不断的进行增长，
[00:33:38] 好那就是快速恢复的这样一个机制，
[00:33:40] 所以快步机制的话，
